id,name,score,publisher,developer,follow,topic,review,install
2228,快樂餐城─2016小資向前衝,,Play8遊戲網,,228,,5
2229,合戰三國志：燃烧の赤壁（公測）,,"HongKong Morlia Digital Entertainment Co.,Ltd",,10,,1
2231,时空召唤,6.5,深圳新游畅玩科技有限公司,广州银汉科技有限公司,273250,1547,5558
2232,Demon Defense Shoot,,高压电工作室,,1,,
2233,美廚娘 - 來一場美味的戰鬥饗宴吧,,BBcreative,,17,,
2235,Savior就是主,,Play Bigbang,,6,,1
2236,戰姬甜心,,iPlay99,,103,1,1
2238,Minebuild мир: майнкрафта,,Conty Games,,11,,1
2239,Sky Garden: Days in Paradise,8.9,VNG GAME STUDIOS,,1347,5,25
2240,LINE 鬥陣英雄2 - 神話英雄大亂鬥,6.0,LINE Corporation,,146,5,23
2241,問答RPG 魔法使與黑貓維茲TW,9.7,So-net Entertainment Taiwan,,4128,54,101
2242,勇者斗恶龙 怪物仙境 SUPER LIGHT - 《达伊的大冒险》联动合作开催!,8.3,Mobimon Inc.,,8447,28,80
2246,功夫熊猫3,7.2,网易游戏,,4938,16,57
2247,火影忍者-疾风传CN,7.3,腾讯,,857054,2808,5273
2249,精英殺手3D - Elite Killer,,CanadaDroid,,356,,
2251,Offroad Driving Adventure 2016,,"Tapinator, Inc. (Ticker: TAPM)",,761,,1
2252,"奶奶的时尚化妆沙龙 - 免费化妆,换装,SPA游戏",,6677g.com,,701,,1
2253,痛扁小偷,,BOX10.COM,,152,,4
2254,白块2 (音乐版) - 魔法钢琴,,DRAGONCOLOR,,664,,5
2255,隐秘之寺,,Pixibots,,35,1,3
2256,Crossword Jigsaw,,Best Word Game Studio,,17,,
2258,Schoolgirl Supervisor - Saori Sato,7.8,Mr. Noway,,1391,19,19
2259,摩托车：极速赛车手3D,,MobileGames,,57,,1
